"xllcorner","yllcorner","cellsize","nrows","ncols","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","Vegetation_Code","Vegetation_Group","EVI_Amplitude","EVI_Minimum","EVI_Area","Dormancy","Greenup","MidGreenup","MidGreendown","Maturity","Senescence","EVI_Maximum","year","lat","long","grid_id","ndvi_max","ndvi_max_doy"
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2001001","2001-01-01","h17v03",2022070180635,12,"BB","Blanket Bog",0.2867,0.1788,15.8,320,132,158,283,186,234,0.4655,2001,"57.0203","-6.343105",9,0.734230623826886,211.352941176471
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2002001","2002-01-01","h17v03",2022075075940,12,"BB","Blanket Bog",0.3755,0.1374,26.8,306,111,151,277,189,241,0.5129,2002,"57.0203","-6.343105",9,0.744695341798659,212.411764705882
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2003001","2003-01-01","h17v03",2022078114550,12,"BB","Blanket Bog",0.3047,0.1645,22.8,318,106,146,288,179,252,0.4692,2003,"57.0203","-6.343105",9,0.76681564497875,217.411764705882
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2005001","2005-01-01","h17v03",2022083212811,12,"BB","Blanket Bog",0.3909,0.12,30.2,313,57,150,278,185,239,0.5109,2005,"57.0203","-6.343105",9,0.706076524647607,213.294117647059
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2006001","2006-01-01","h17v03",2022084115002,12,"BB","Blanket Bog",0.3276,0.1407,22.4,299,109,154,282,188,248,0.4683,2006,"57.0203","-6.343105",9,0.739705002042441,209.117647058824
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2007001","2007-01-01","h17v03",2022085224510,12,"BB","Blanket Bog",0.4011,0.12,32.7,304,54,143,271,181,235,0.5211,2007,"57.0203","-6.343105",9,0.719900332634872,211.882352941176
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2008001","2008-01-01","h17v03",2022094210358,12,"BB","Blanket Bog",0.3328,0.1271,27.3,323,48,141,263,184,231,0.4599,2008,"57.0203","-6.343105",9,0.732757141945137,207.294117647059
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2009001","2009-01-01","h17v03",2022096100000,12,"BB","Blanket Bog",0.388,0.1243,27.9,308,62,146,275,181,226,0.5123,2009,"57.0203","-6.343105",9,0.693092878744935,207.588235294118
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2010001","2010-01-01","h17v03",2022096153542,12,"BB","Blanket Bog",0.4009,0.1364,29.3,312,97,159,280,195,247,0.5373,2010,"57.0203","-6.343105",9,0.702129527379844,209
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2011001","2011-01-01","h17v03",2022101042911,12,"BB","Blanket Bog",0.3452,0.12,26,324,38,139,277,175,218,0.4652,2011,"57.0203","-6.343105",9,0.721413685874754,210.705882352941
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2013001","2013-01-01","h17v03",2022105153143,12,"BB","Blanket Bog",0.3212,0.1596,19.1,308,131,165,277,194,241,0.4808,2013,"57.0203","-6.343105",9,0.793866299486104,219.823529411765
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2014001","2014-01-01","h17v03",2022110133106,12,"BB","Blanket Bog",0.3883,0.1617,20.9,312,108,144,271,173,216,0.55,2014,"57.0203","-6.343105",9,0.775884630209252,222.4375
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2015001","2015-01-01","h17v03",2022111220356,12,"BB","Blanket Bog",0.3937,0.1682,23.6,310,134,167,285,197,249,0.5619,2015,"57.0203","-6.343105",9,0.79321784887777,228.882352941176
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2016001","2016-01-01","h17v03",2022113070801,12,"BB","Blanket Bog",0.4019,0.12,29.2,303,47,154,276,186,233,0.5219,2016,"57.0203","-6.343105",9,0.781613713508592,221.823529411765
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2017001","2017-01-01","h17v03",2022115023625,12,"BB","Blanket Bog",0.3819,0.1282,31.7,299,30,147,268,181,227,0.5101,2017,"57.0203","-6.343105",9,0.792181409524162,220.882352941176
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2018001","2018-01-01","h17v03",2022115212012,12,"BB","Blanket Bog",0.3323,0.173,18,309,131,156,264,185,231,0.5053,2018,"57.0203","-6.343105",9,0.796868472362097,214.823529411765
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2019001","2019-01-01","h17v03",2022116173038,12,"BB","Blanket Bog",0.3709,0.12,21.7,315,108,138,282,172,226,0.4909,2019,"57.0203","-6.343105",9,0.803945594861161,208.352941176471
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2020001","2020-01-01","h17v03",2022117220647,12,"BB","Blanket Bog",0.4248,0.12,26.9,310,75,142,278,173,231,0.5448,2020,"57.0203","-6.343105",9,0.832087776040282,206.235294117647
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2021001","2021-01-01","h17v03",2022294172643,12,"BB","Blanket Bog",0.3754,0.1556,23.4,310,114,154,272,182,232,0.531,2021,"57.0203","-6.343105",9,0.822863909518812,205.058823529412
-384086.22,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2022001","2022-01-01","h17v03",2023221171149,12,"BB","Blanket Bog",0.452,0.12,29.3,306,91,147,278,186,228,0.572,2022,"57.0203","-6.343105",9,0.869363906732874,203.411764705882
-383622.95,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2001001","2001-01-01","h17v03",2022070180635,11,"BB","Blanket Bog",0.3147,0.12,20.8,318,78,155,280,188,236,0.4347,2001,"57.0203","-6.335274",10,0.668576825948639,217.707920792079
-383622.95,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2002001","2002-01-01","h17v03",2022075075940,11,"BB","Blanket Bog",0.2729,0.1422,25.3,305,84,147,284,176,255,0.4151,2002,"57.0203","-6.335274",10,0.687568645704171,220.079207920792
-383622.95,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2003001","2003-01-01","h17v03",2022078114550,11,"BB","Blanket Bog",0.2897,0.12,23.3,319,77,132,285,171,238,0.4097,2003,"57.0203","-6.335274",10,0.724069674650906,225.594059405941
-383622.95,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2005001","2005-01-01","h17v03",2022083212811,11,"BB","Blanket Bog",0.2863,0.1649,18.3,314,127,157,281,189,246,0.4512,2005,"57.0203","-6.335274",10,0.679992784275265,221.009900990099
-383622.95,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2006001","2006-01-01","h17v03",2022084115002,11,"BB","Blanket Bog",0.3126,0.1324,21.9,310,120,155,281,188,250,0.445,2006,"57.0203","-6.335274",10,0.686759253398631,218.207920792079
-383622.95,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2007001","2007-01-01","h17v03",2022085224510,11,"BB","Blanket Bog",0.3284,0.1512,24.3,313,95,148,273,187,233,0.4796,2007,"57.0203","-6.335274",10,0.693799983377088,214.825641025641
-383622.95,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2008001","2008-01-01","h17v03",2022094210358,11,"BB","Blanket Bog",0.2582,0.1645,18.3,316,111,150,264,189,234,0.4227,2008,"57.0203","-6.335274",10,0.692104796308065,212.737623762376
-383622.95,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2009001","2009-01-01","h17v03",2022096100000,11,"BB","Blanket Bog",0.3395,0.12,24,297,64,146,271,182,225,0.4595,2009,"57.0203","-6.335274",10,0.674851218431515,210.39603960396
-383622.95,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2010001","2010-01-01","h17v03",2022096153542,11,"BB","Blanket Bog",0.3571,0.1215,29.6,307,60,156,280,196,241,0.4786,2010,"57.0203","-6.335274",10,0.654574732570074,212.853658536585
-383622.95,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2011001","2011-01-01","h17v03",2022101042911,11,"BB","Blanket Bog",0.2903,0.12,20.4,311,73,137,287,175,222,0.4103,2011,"57.0203","-6.335274",10,0.644311056259205,214.985148514851
-383622.95,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2013001","2013-01-01","h17v03",2022105153143,11,"BB","Blanket Bog",0.339,0.12,23,300,59,163,273,191,236,0.459,2013,"57.0203","-6.335274",10,0.723097487601527,220.544554455446
-383622.95,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2014001","2014-01-01","h17v03",2022110133106,11,"BB","Blanket Bog",0.3545,0.12,27.3,302,62,138,278,174,234,0.4745,2014,"57.0203","-6.335274",10,0.699634228981205,222.945544554455
-383622.95,6339971.25,463.312716528,1,1,"unique_pixel","MCD12Q2","2000-01-01","2024-06-01",TRUE,"A2015001","2015-01-01","h17v03",2022111220356,11,"BB","Blanket Bog",0.3508,0.1496,23.3,318,116,164,292,196,251,0.5004,2015,"57.0203","-6.335274",10,0.720244448056364,224.212871287129
