"Year","Plot","JunJulStCp","n_mon"
1987,"G1.17",0.954718808767412,2
1987,"G1.18",0.962007236149728,2
1987,"G1.26",1.84606551980172,2
1987,"G1.27",1.06424234652705,2
1987,"G1.28",1.72893463707317,2
1987,"GG2",1.09934039726798,2
1988,"G1.17",0.854764368512579,2
1988,"G1.18",0.753575173564491,2
1988,"G1.26",0.9203155344953,2
1988,"G1.27",0.77832960768554,2
1988,"G1.28",0.903151702685235,2
1988,"GG2",0.591716205141673,2
1989,"G1.17",1.09814074775968,2
1989,"G1.18",1.27846027891171,2
1989,"G1.26",1.00717001728847,2
1989,"G1.27",1.28061063283995,2
1989,"G1.28",1.50270623041043,2
1989,"GG2",0.642445239132075,2
1990,"G1.17",0.741702039691444,2
1990,"G1.18",0.846542815323714,2
1990,"G1.26",0.590498281769307,2
1990,"G1.27",0.703474729627681,2
1990,"G1.28",1.1763853260633,2
1990,"GG2",0.358659216463828,2
1991,"G1.17",0.213675355149925,2
1991,"G1.18",0.269415210381717,2
1991,"G1.26",0.420023895571531,2
1991,"G1.27",0.213389155653494,2
1991,"G1.28",1.00408410136734,2
1991,"GG2",0.595120416007533,2
1992,"G1.17",1.01941742728133,1
1992,"G1.18",0.726000008224468,1
1992,"G1.26",0.925402044924176,2
1992,"G1.27",0.995480121100878,2
1992,"G1.28",0.889488186597574,2
1992,"GG2",0.787873214840539,2
1993,"G1.17",0.751816448040119,2
1993,"G1.18",0.656333931569327,2
1993,"G1.26",0.5729184815417,2
1993,"G1.27",0.397913263806208,2
1993,"G1.28",0.757426058355616,2
1993,"GG2",0.756939519709183,2
1994,"G1.17",0.767281487763325,2
1994,"G1.18",0.760744831022153,2
1994,"G1.26",0.505811512701441,2
1994,"G1.27",0.534086327518587,2
1994,"G1.28",0.962176452391392,2
1994,"GG2",0.646564731721388,2
1995,"G1.17",0.773312994261096,2
1995,"G1.18",0.803145148601766,2
1995,"G1.26",0.836239258009293,2
1995,"G1.27",0.789566765455142,2
1995,"G1.28",0.967975125809605,2
1995,"GG2",0.659586108612732,2
1996,"G1.17",0.719183465650384,2
1996,"G1.18",0.716254462441462,2
1996,"G1.26",0.839091289052907,2
1996,"G1.27",0.744301613323293,2
1996,"G1.28",0.926219542269852,2
1996,"GG2",0.529305136453666,2
1997,"G1.17",0.944305308819329,2
1997,"G1.18",1.01730263008517,2
1997,"G1.26",1.25782404656688,2
1997,"G1.27",1.11206636162119,2
1997,"G1.28",1.26607525651791,2
1997,"GG2",0.80009995132984,2
1998,"G1.17",0.967577967773842,2
1998,"G1.18",1.00285997231353,2
1998,"G1.26",0.662550470427709,2
1998,"G1.27",0.616400965411232,2
1998,"G1.28",0.789752517913103,2
1998,"GG2",0.632029473500097,2
1999,"G1.17",0.943032707753141,2
1999,"G1.18",0.599800746431716,2
1999,"G1.26",1.00581750282139,2
1999,"G1.27",0.567619935829652,2
1999,"G1.28",1.02040510946064,2
1999,"GG2",0.64327404788723,2
2000,"G1.17",1.70141638301689,2
2000,"G1.18",1.01138366597833,2
2000,"G1.26",0.831433723139247,2
2000,"G1.27",0.889245271690014,2
2000,"G1.28",0.662276359054842,2
2000,"GG2",0.783404166164643,2
2001,"G1.17",1.28608339397639,2
2001,"G1.18",1.04488482215547,2
2001,"G1.26",0.939737364486419,2
2001,"G1.27",0.646559719012478,2
2001,"G1.28",0.670081042866812,2
2001,"GG2",0.928956792670532,2
2002,"G1.17",1.18542046089609,2
2002,"G1.18",0.816257323505472,2
2002,"G1.26",1.1974069617707,2
2002,"G1.27",0.679308947559677,1
2002,"G1.28",0.998390583321871,2
2002,"GG2",0.96513634419166,1
2003,"G1.17",0.989255569304884,1
2003,"G1.18",0.969775463177773,1
2003,"G1.26",0.798530615380189,1
2003,"G1.27",0.980438522205706,2
2003,"G1.28",1.3638620397302,2
2003,"GG2",0.646610513042609,2
2004,"G1.17",0.93410838985568,2
2004,"G1.18",0.6972736479707,2
2004,"G1.26",1.5612397489844,2
2004,"G1.27",0.845752410865702,2
